Emp_ID,Age,Tenure_Years,Performance_Rating,Engagement_Score,Department,Manager_Rating,Promoted_Last_2Y,Attrition
EMP0062,35,14.8,3,99,Finance,3,0,1
EMP0063,44,10.6,2,57,Sales,3,1,0
EMP0064,42,8.3,3,55,Operations,4,0,0
EMP0065,37,5.0,4,54,Finance,2,1,0
EMP0066,39,12.3,4,41,Sales,2,0,0
EMP0067,45,10.4,4,34,Finance,1,1,0
EMP0068,47,2.9,3,77,Operations,3,1,0
EMP0069,46,13.7,3,66,Marketing,1,0,0
EMP0070,50,12.4,4,73,HR,1,1,0
EMP0071,36,14.3,2,44,Operations,4,0,1
EMP0072,22,11.0,3,72,Tech,4,0,1
EMP0073,46,9.4,2,77,Finance,1,0,1
EMP0074,28,6.6,5,99,Finance,3,0,0
EMP0075,30,14.0,5,75,Marketing,4,0,0
EMP0076,45,13.1,1,72,Tech,1,0,1
EMP0077,22,1.2,4,50,Marketing,1,0,1
EMP0078,29,0.9,5,52,Tech,1,1,1
EMP0079,45,6.0,2,76,HR,1,1,1
EMP0080,32,12.3,3,44,Finance,1,1,0
EMP0081,38,14.8,5,54,Finance,1,1,1
EMP0082,29,2.7,1,65,HR,4,1,1
EMP0083,56,9.1,3,80,Sales,3,0,0
EMP0084,56,6.0,2,44,Marketing,1,0,1
EMP0085,54,14.6,5,97,HR,2,1,0
EMP0086,26,12.7,5,50,Marketing,4,0,1
EMP0087,49,12.7,5,42,Operations,4,0,0
EMP0088,28,7.3,3,48,Finance,1,0,1
EMP0089,30,6.5,4,63,Marketing,4,0,1
EMP0090,29,4.5,4,97,Tech,1,0,0
EMP0091,33,1.3,3,81,Marketing,3,0,0
EMP0092,55,13.0,4,56,Operations,3,0,0
EMP0093,54,12.3,1,58,Finance,4,0,0
EMP0094,44,15.0,3,57,HR,4,0,0
EMP0095,45,15.0,2,64,Operations,2,0,0
EMP0096,58,8.6,2,37,Finance,4,1,1
EMP0097,56,11.7,1,45,Marketing,2,0,1
EMP0098,43,14.2,3,65,Sales,3,0,0
EMP0099,48,12.8,3,59,Sales,3,1,0
EMP0100,56,4.1,4,47,Tech,1,0,1
EMP0101,22,7.0,1,31,Finance,3,0,1
EMP0102,56,2.4,3,78,Sales,2,0,1
EMP0103,58,14.3,3,33,HR,4,1,0
EMP0104,35,9.3,4,36,Finance,1,0,1
EMP0105,24,3.8,3,68,HR,2,0,0
EMP0106,22,10.2,3,42,HR,4,1,1
EMP0107,26,9.5,4,60,Sales,1,0,0
EMP0108,47,5.7,3,92,Finance,3,0,0
EMP0109,35,2.1,2,85,Marketing,2,0,1
EMP0110,48,10.2,1,71,Operations,4,0,0
EMP0111,30,8.0,4,90,Sales,1,0,0
EMP0112,36,11.7,1,71,Sales,1,0,1
EMP0113,36,8.0,4,85,Marketing,3,1,0
EMP0114,47,12.9,3,65,Finance,4,0,0
EMP0115,34,8.5,5,97,Finance,3,0,0
EMP0116,53,8.6,4,36,HR,3,0,1
EMP0117,53,13.2,5,83,Marketing,4,0,0
EMP0118,25,6.4,3,30,Marketing,4,0,1
EMP0119,51,2.4,4,73,Finance,4,1,0
EMP0120,58,0.9,3,74,HR,2,0,1
EMP0121,44,11.4,3,76,Sales,4,1,0
EMP0122,36,9.5,3,42,Tech,1,1,0
EMP0123,50,10.7,4,51,Operations,3,0,0
EMP0124,57,3.6,5,50,Sales,2,1,0
EMP0125,34,2.5,4,38,Finance,4,0,1
EMP0126,53,0.7,3,55,Operations,2,0,1
EMP0127,28,5.6,3,38,Tech,4,0,0
EMP0128,43,9.1,4,44,Tech,2,0,1
EMP0129,49,6.2,2,39,HR,3,0,0
EMP0130,23,6.8,2,71,Operations,3,0,1
EMP0131,27,13.6,3,53,HR,1,0,1
EMP0132,49,5.5,2,78,Sales,1,0,0
EMP0133,49,8.0,2,55,Marketing,4,0,0
EMP0134,41,11.9,2,66,Marketing,3,1,0
EMP0135,51,6.2,1,97,Marketing,2,1,0
EMP0136,32,9.5,1,79,Operations,2,0,1
EMP0137,49,13.0,5,53,Marketing,2,0,0
EMP0138,46,14.3,3,48,Sales,1,1,1
EMP0139,54,2.6,3,89,HR,2,1,0
EMP0140,22,13.9,3,68,Operations,1,1,0
EMP0141,48,7.6,2,47,HR,1,0,1
EMP0142,34,4.2,5,48,Operations,4,0,1
EMP0143,24,7.2,4,65,HR,2,0,1
EMP0144,27,14.7,1,84,Tech,2,0,0
EMP0145,29,7.6,3,98,HR,3,1,0
EMP0146,48,5.3,4,76,Marketing,4,1,0
EMP0147,30,9.7,5,78,Tech,3,0,0
EMP0148,58,4.0,3,62,HR,4,1,0
EMP0149,54,1.6,3,50,Operations,2,0,1
EMP0150,45,2.4,2,51,Operations,1,0,0
EMP0151,36,2.4,5,77,Operations,1,0,1
EMP0152,53,2.7,2,66,Finance,1,1,1
EMP0153,53,2.5,5,44,Sales,1,0,1
EMP0154,45,9.8,3,64,Operations,1,1,0
EMP0155,33,3.1,3,61,Tech,3,1,0
EMP0156,23,5.5,3,40,Operations,4,0,1
EMP0157,24,13.5,2,39,Finance,2,0,1
EMP0158,58,7.4,2,86,Marketing,3,1,0
EMP0159,38,10.2,2,54,Tech,4,0,0
EMP0160,23,3.0,2,31,Finance,1,1,1
EMP0161,23,3.3,4,93,Marketing,4,1,0
EMP0162,49,1.1,3,64,Tech,4,0,0
EMP0163,44,2.9,1,36,HR,1,0,1
EMP0164,58,4.5,5,47,Sales,1,1,1
EMP0165,53,3.1,4,96,Sales,1,0,1
EMP0166,54,1.8,5,71,Finance,2,0,0
EMP0167,22,2.2,5,68,Marketing,1,0,1
EMP0168,40,7.2,2,70,Sales,2,0,0
EMP0169,23,3.5,3,53,Marketing,1,1,0
EMP0170,47,5.8,4,89,Marketing,2,1,0
EMP0171,53,7.8,3,75,Finance,4,0,0
EMP0172,27,10.5,2,48,Finance,3,0,1
EMP0173,53,1.1,4,97,Finance,4,0,0
EMP0174,25,12.1,2,71,Sales,4,1,0
EMP0175,32,9.6,2,61,Finance,1,0,0
EMP0176,38,1.7,3,68,Sales,2,0,1
EMP0177,59,13.2,3,65,Finance,3,0,0
EMP0178,45,13.9,3,65,Operations,1,0,0
EMP0179,26,1.4,1,32,Marketing,1,1,1
EMP0180,55,4.5,4,37,Finance,1,0,1
EMP0181,27,12.2,2,99,Tech,4,0,1
EMP0182,43,11.3,2,70,Marketing,2,0,0
EMP0183,32,3.2,4,97,Marketing,2,1,0
EMP0184,37,3.5,5,42,Finance,3,0,0
EMP0185,54,5.9,4,78,HR,2,0,1
EMP0186,30,7.5,4,89,Finance,2,0,0
EMP0187,27,9.5,3,31,Marketing,1,1,1
EMP0188,37,5.8,3,89,Tech,1,0,0
EMP0189,50,7.2,1,34,Marketing,4,0,1
EMP0190,24,11.3,3,73,Tech,1,0,0
EMP0191,41,1.0,3,56,Sales,1,1,1
EMP0192,57,4.2,2,61,Operations,1,0,1
EMP0193,40,10.8,4,50,Marketing,1,1,0
EMP0194,47,13.5,3,37,Finance,4,0,1
EMP0195,24,7.9,1,79,Sales,1,0,0
EMP0196,40,8.2,2,96,Operations,3,0,1
EMP0197,41,2.1,3,73,Finance,3,1,0
EMP0198,53,7.0,1,87,HR,3,0,1
EMP0199,28,8.2,4,32,Finance,3,1,0
EMP0200,54,4.0,3,99,Tech,1,1,0
EMP0201,39,4.4,3,31,Tech,3,0,1
EMP0202,22,6.0,3,73,HR,1,1,1
EMP0203,32,0.8,4,31,Sales,4,1,1
EMP0204,49,5.2,3,64,Operations,3,0,1
EMP0205,46,3.6,3,59,Finance,2,0,0
EMP0206,44,5.2,3,37,Tech,3,1,0
EMP0207,52,2.2,2,51,Sales,3,0,0
EMP0208,51,13.4,4,73,HR,1,1,0
EMP0209,56,9.1,4,87,Marketing,3,1,0
EMP0210,28,10.3,3,65,Tech,2,0,0
EMP0211,37,11.9,4,98,HR,1,0,1
EMP0212,47,7.7,4,60,Finance,1,0,0
EMP0213,23,1.8,4,76,Operations,4,0,0
EMP0214,22,8.3,4,84,Tech,4,0,0
EMP0215,33,9.0,3,91,Tech,3,0,0
EMP0216,26,11.3,3,59,Finance,4,0,0
EMP0217,58,6.8,3,84,Marketing,4,1,0
EMP0218,53,2.3,4,45,Sales,4,1,0
EMP0219,30,4.6,2,41,Operations,1,0,1
EMP0220,56,5.8,4,46,Tech,1,0,1
EMP0221,40,9.9,4,45,Operations,1,0,1
EMP0222,37,8.8,1,41,Tech,4,0,0
EMP0223,24,5.7,4,37,Operations,1,1,1
EMP0224,41,14.8,2,32,HR,4,1,1
EMP0225,45,9.3,3,45,Tech,1,1,0
EMP0226,54,3.9,4,59,Operations,1,1,0
EMP0227,45,2.0,2,52,Sales,2,0,1
EMP0228,32,2.7,4,34,HR,3,1,1
EMP0229,29,4.1,4,94,HR,4,0,0
EMP0230,57,2.8,3,59,Sales,2,1,0
EMP0231,59,3.2,1,50,Operations,1,0,1
EMP0232,41,4.6,2,99,Finance,4,1,0
EMP0233,56,3.0,3,51,Sales,1,1,1
EMP0234,46,13.5,5,61,Operations,3,0,0
EMP0235,56,1.7,3,62,Sales,2,0,1
EMP0236,46,8.1,2,45,Sales,3,1,1
EMP0237,50,6.5,3,67,Tech,2,0,0
EMP0238,39,14.7,3,43,Operations,1,0,1
EMP0239,39,2.1,4,65,Finance,3,0,0
EMP0240,23,6.3,2,52,Tech,3,0,0
EMP0241,56,14.6,4,95,Sales,1,1,1
EMP0242,37,13.0,3,31,Marketing,3,0,1
EMP0243,57,12.3,5,94,Sales,4,0,0
EMP0244,54,4.2,3,96,Sales,2,0,1
EMP0245,25,3.0,3,81,Operations,2,0,1
EMP0246,54,10.2,5,91,Operations,2,0,1
EMP0247,35,14.0,2,52,Tech,4,0,0
EMP0248,42,8.6,5,55,Finance,2,0,0
EMP0249,41,8.8,3,97,Tech,1,0,0
EMP0250,29,4.6,1,84,HR,3,1,0
EMP0251,28,11.7,3,35,Sales,4,0,1
EMP0252,24,3.2,4,64,Marketing,2,0,0
EMP0253,38,5.2,1,51,Sales,1,0,1
EMP0254,54,6.7,3,72,Sales,3,0,0
EMP0255,33,7.9,3,44,Tech,3,0,1
EMP0256,43,4.0,3,89,Marketing,4,0,0
EMP0257,43,2.2,1,41,Marketing,4,1,1
EMP0258,51,9.4,4,78,Marketing,4,0,0
EMP0259,59,4.7,5,71,Tech,1,0,0
EMP0260,59,8.9,5,67,Sales,1,1,0
EMP0261,29,2.7,4,74,Tech,4,0,0
EMP0262,48,7.5,2,64,Operations,2,0,0
EMP0263,48,8.2,4,59,Operations,3,0,0
EMP0264,55,1.3,1,59,Tech,3,0,1
EMP0265,42,5.4,1,35,Marketing,1,1,1
EMP0266,51,2.4,3,96,Sales,3,1,0
EMP0267,54,1.4,3,36,Tech,2,1,1
EMP0268,49,14.9,4,81,Tech,3,0,0
EMP0269,54,5.2,3,43,Tech,1,0,1
EMP0270,26,12.2,3,44,HR,1,0,1
EMP0271,40,4.2,2,50,Operations,2,0,1
EMP0272,25,10.4,5,64,Marketing,2,0,1
EMP0273,56,11.5,3,95,Finance,3,1,0
EMP0274,38,9.1,3,31,Marketing,3,0,1
EMP0275,49,7.3,2,64,Finance,1,0,0
EMP0276,51,6.5,4,49,HR,2,0,1
EMP0277,50,5.6,3,39,Tech,2,0,1
EMP0278,27,14.0,2,54,HR,2,0,1
EMP0279,56,12.5,1,95,HR,3,1,0
EMP0280,58,14.5,3,54,Sales,2,0,1
EMP0281,45,2.3,3,83,Operations,1,1,0
EMP0282,50,11.1,2,62,Finance,1,0,0
EMP0283,52,14.1,5,65,Tech,3,1,0
EMP0284,56,3.1,2,43,Finance,4,1,0
EMP0285,54,1.5,3,94,Marketing,3,0,0
EMP0286,42,11.2,5,83,Finance,4,0,0
EMP0287,53,8.8,3,81,Marketing,2,1,0
EMP0288,44,12.7,3,32,Operations,3,0,0
EMP0289,54,2.5,3,70,Marketing,1,1,0
EMP0290,24,12.0,2,35,Finance,2,0,1
EMP0291,39,3.4,5,54,Finance,1,0,0
EMP0292,46,2.9,3,42,Marketing,2,1,1
EMP0293,52,2.9,4,37,HR,3,1,0
EMP0294,24,12.3,2,50,Operations,4,0,1
EMP0295,45,10.1,2,97,Sales,2,1,1
EMP0296,53,8.1,1,54,Tech,4,0,1
EMP0297,43,5.7,3,97,Finance,2,0,0
EMP0298,44,13.2,3,74,Tech,1,0,1
EMP0299,23,6.2,4,89,Sales,1,0,0
EMP0300,48,12.3,3,41,Tech,2,1,0
EMP0301,23,6.9,5,61,Sales,4,0,0
EMP0302,47,6.0,2,42,Marketing,3,0,1
EMP0303,38,7.2,4,60,HR,3,0,0
EMP0304,54,4.9,4,49,Finance,1,0,1
EMP0305,30,11.3,4,47,Sales,3,0,1
EMP0306,50,7.8,4,89,Tech,1,1,0
EMP0307,47,3.9,4,92,Finance,3,0,1
EMP0308,56,13.5,3,35,HR,2,1,1
EMP0309,46,6.1,2,61,Marketing,1,1,1
EMP0310,45,8.4,1,72,Finance,1,0,1
EMP0311,34,13.6,5,31,Sales,2,1,0
EMP0312,28,9.6,3,89,HR,1,1,0
EMP0313,57,2.2,4,52,Tech,3,0,0
EMP0314,41,14.1,3,60,HR,3,0,0
EMP0315,22,9.6,2,34,HR,1,0,1
EMP0316,29,5.4,2,63,Operations,3,0,1
EMP0317,37,2.5,3,39,HR,4,1,1
EMP0318,35,12.0,3,31,HR,1,0,1
EMP0319,33,9.5,2,40,Finance,2,1,1
EMP0320,44,8.2,3,79,Tech,4,0,0
EMP0321,36,13.5,1,60,Finance,1,0,1
EMP0322,49,11.9,3,85,Finance,2,1,1
EMP0323,55,2.7,2,38,Sales,3,0,1
EMP0324,23,5.0,4,50,Finance,2,0,1
EMP0325,53,4.1,3,57,Operations,4,0,1
EMP0326,44,11.3,3,91,Operations,3,0,0
EMP0327,43,1.0,1,36,Sales,1,0,1
EMP0328,46,8.8,1,45,Marketing,3,0,1
EMP0329,43,11.6,3,33,Tech,1,0,1
EMP0330,43,13.2,3,33,Tech,1,1,1
EMP0331,27,5.5,3,69,Finance,2,0,1
EMP0332,36,12.4,2,46,Finance,2,0,1
EMP0333,58,2.1,3,81,Marketing,2,0,0
EMP0334,54,12.8,4,81,Finance,4,1,0
EMP0335,29,2.3,4,65,Tech,4,0,0
EMP0336,26,6.3,1,67,HR,2,0,1
EMP0337,25,12.1,3,79,Operations,4,0,0
EMP0338,27,2.7,2,92,HR,3,0,1
EMP0339,53,3.8,2,92,HR,3,1,0
EMP0340,51,11.0,5,91,Tech,4,1,0
EMP0341,56,10.9,2,36,HR,4,0,0
EMP0342,37,9.8,3,56,Marketing,3,0,0
EMP0343,34,10.6,3,43,Sales,1,0,1
EMP0344,51,8.4,4,34,Finance,3,1,0
EMP0345,40,4.2,3,84,Sales,3,1,0
EMP0346,38,5.5,1,31,Operations,4,0,1
EMP0347,40,3.1,3,91,Finance,3,1,0
EMP0348,49,13.7,3,50,HR,4,1,0
EMP0349,47,9.0,1,50,Operations,4,0,0
EMP0350,58,6.3,3,39,Finance,2,0,1
EMP0351,47,7.2,1,87,Marketing,3,0,1
EMP0352,44,14.2,1,68,Marketing,1,1,0
EMP0353,30,2.7,3,34,Marketing,2,1,1
EMP0354,33,9.0,2,94,Marketing,4,1,0
EMP0355,22,7.8,3,42,HR,4,1,0
EMP0356,22,9.4,3,82,Sales,1,0,1
EMP0357,55,0.8,4,74,Finance,4,1,0
EMP0358,53,13.1,2,61,HR,3,1,1
EMP0359,46,14.0,2,65,Marketing,2,0,0
EMP0360,22,8.7,2,89,Sales,4,0,0
EMP0361,37,10.6,3,40,Operations,4,1,0
EMP0362,26,13.9,4,92,Operations,1,0,1
EMP0363,43,10.8,1,50,Operations,3,1,0
EMP0364,50,2.7,5,81,Marketing,4,0,0
EMP0365,24,8.9,1,84,Operations,1,0,0
EMP0366,33,9.3,3,55,Tech,4,1,0
EMP0367,47,6.6,4,97,Finance,1,0,0
EMP0368,37,11.2,4,63,Finance,1,0,0
EMP0369,58,14.0,4,81,Marketing,3,0,1
EMP0370,43,13.9,4,81,Tech,4,1,0
EMP0371,50,7.0,3,58,HR,3,0,1
EMP0372,35,2.1,4,67,HR,1,1,1
EMP0373,49,14.8,1,71,Operations,2,0,0
EMP0374,26,12.7,4,50,Sales,4,1,0
EMP0375,51,2.3,3,71,HR,2,1,0
EMP0376,26,13.9,4,42,Sales,4,0,0
EMP0377,33,13.1,3,93,Finance,3,0,0
EMP0378,37,8.0,3,46,Sales,3,0,1
EMP0379,47,9.1,3,38,Finance,3,0,1
EMP0380,47,6.3,4,70,Tech,3,0,0
EMP0381,42,1.3,1,30,Tech,3,0,1
EMP0382,57,5.4,1,31,Marketing,2,0,1
EMP0383,54,12.1,2,89,Marketing,3,0,0
EMP0384,51,0.6,2,77,Operations,1,0,1
EMP0385,58,5.3,4,58,HR,1,0,1
EMP0386,44,6.3,2,39,Operations,2,1,1
EMP0387,31,8.3,5,87,Finance,4,0,0
EMP0388,26,13.8,3,89,Operations,1,0,0
EMP0389,57,5.5,2,50,Sales,4,0,1
EMP0390,55,5.5,4,57,Finance,2,1,0
EMP0391,52,11.2,3,63,Marketing,4,1,0
EMP0392,31,7.1,3,37,Tech,4,1,0
EMP0393,40,3.8,3,88,Marketing,4,1,0
EMP0394,53,7.1,4,78,HR,4,0,0
EMP0395,22,2.5,2,46,Finance,2,1,1
EMP0396,26,3.1,5,89,Finance,1,1,0
EMP0397,25,7.7,5,74,Sales,3,0,0
EMP0398,37,6.6,3,98,HR,4,1,0
EMP0399,45,13.8,2,61,Tech,1,0,1
EMP0400,37,5.8,3,73,Finance,1,0,0
EMP0401,23,8.9,1,94,Finance,2,0,1
EMP0402,49,9.7,1,37,Sales,1,0,1
EMP0403,53,0.7,2,72,Operations,2,1,1
EMP0404,48,10.1,3,30,Tech,4,0,1
EMP0405,41,3.1,4,80,Marketing,4,0,0
EMP0406,45,14.4,4,53,HR,3,0,0
EMP0407,33,2.7,4,53,Finance,3,1,0
EMP0408,56,6.5,3,46,Finance,3,0,0
EMP0409,54,1.7,3,34,Marketing,1,0,1
EMP0410,54,15.0,3,49,Tech,4,1,0
EMP0411,58,7.8,5,50,Operations,2,1,1
EMP0412,33,9.1,1,87,Finance,3,0,1
EMP0413,24,1.5,4,60,Tech,2,1,1
EMP0414,22,11.4,3,40,Marketing,2,1,1
EMP0415,54,3.5,3,81,Sales,3,1,0
EMP0416,31,13.5,4,44,Operations,4,0,1
EMP0417,50,3.5,3,36,HR,3,0,0
EMP0418,34,3.3,4,57,Finance,2,0,0
EMP0419,33,1.0,5,80,Tech,3,0,0
EMP0420,52,7.3,3,87,Sales,2,0,1
EMP0421,23,8.7,2,34,HR,2,0,1
EMP0422,56,1.5,3,34,Tech,3,0,1
EMP0423,44,11.7,5,37,Tech,1,0,1
EMP0424,38,7.1,2,93,HR,3,0,0
EMP0425,47,8.1,3,39,Sales,1,1,1
EMP0426,29,6.9,3,67,Marketing,2,0,1
EMP0427,50,6.3,4,37,Sales,2,0,1
EMP0428,47,8.6,2,54,Operations,1,1,0
EMP0429,31,2.8,4,95,Finance,2,0,1
EMP0430,47,3.1,5,79,HR,1,1,0
EMP0431,55,13.0,2,96,Marketing,1,1,0
EMP0432,28,14.2,2,78,HR,2,0,1
EMP0433,25,5.9,5,65,HR,4,1,0
EMP0434,32,4.4,2,97,Sales,1,0,0
EMP0435,50,9.8,4,70,Finance,3,0,0
EMP0436,57,6.4,3,91,Operations,3,0,1
EMP0437,46,0.9,2,39,Tech,2,0,1
EMP0438,42,2.8,4,50,Tech,4,1,0
EMP0439,57,10.9,3,65,HR,2,0,1
EMP0440,31,10.1,3,41,Finance,4,0,1
EMP0441,58,0.9,3,31,Marketing,1,0,1
EMP0442,30,3.7,3,42,Sales,1,0,1
EMP0443,45,3.9,2,82,Finance,1,0,1
EMP0444,56,10.2,3,61,Finance,1,0,0
EMP0445,56,0.8,5,45,Sales,3,1,0
EMP0446,57,2.0,2,61,HR,3,0,0
EMP0447,39,12.1,3,61,Finance,2,0,0
EMP0448,53,3.1,3,40,Tech,4,0,1
EMP0449,45,10.0,4,39,Sales,1,0,1
EMP0450,44,4.0,2,44,Marketing,1,1,1
EMP0451,53,1.9,5,46,Operations,4,0,1
EMP0452,58,4.0,3,69,HR,4,0,1
EMP0453,33,11.0,2,47,Sales,2,0,1
EMP0454,34,12.9,1,84,Operations,4,1,0
EMP0455,44,12.5,2,54,Operations,1,0,1
EMP0456,46,6.3,3,88,Marketing,1,0,0
EMP0457,56,10.2,3,51,Finance,1,1,0
EMP0458,51,3.5,4,59,Marketing,1,0,1
EMP0459,38,4.8,3,73,Finance,1,1,0
EMP0460,41,13.5,2,61,Finance,2,1,1
EMP0461,46,0.7,3,80,Sales,1,0,0
EMP0462,43,1.7,4,75,Sales,2,0,1
EMP0463,34,3.5,2,50,HR,1,0,1
EMP0464,40,0.9,2,61,Finance,3,0,1
EMP0465,57,3.1,1,68,Operations,3,1,1
EMP0466,33,9.0,4,41,Tech,3,0,1
EMP0467,40,6.6,3,76,HR,3,0,1
EMP0468,33,13.4,3,47,Sales,2,1,1
EMP0469,30,12.4,4,50,Marketing,2,0,1
EMP0470,28,5.5,4,42,HR,4,0,1
EMP0471,49,4.3,3,50,HR,1,0,0
EMP0472,35,6.0,4,37,HR,3,0,1
EMP0473,52,9.1,2,75,HR,2,1,0
EMP0474,40,4.4,2,36,Tech,1,0,1
EMP0475,37,9.6,2,52,Marketing,1,0,0
EMP0476,26,6.4,1,51,Marketing,2,0,0
EMP0477,56,8.5,3,51,Marketing,3,0,1
EMP0478,33,6.8,5,58,Finance,4,0,1
EMP0479,46,4.8,1,42,Operations,1,0,1
EMP0480,42,14.3,2,31,Marketing,4,0,1
EMP0481,57,11.6,3,58,HR,3,1,0
EMP0482,44,2.5,5,81,HR,3,0,0
EMP0483,37,13.1,3,56,Marketing,4,0,0
EMP0484,35,7.6,3,79,Marketing,3,0,0
EMP0485,52,13.5,1,52,HR,1,1,0
EMP0486,26,12.1,2,73,Finance,4,1,0
EMP0487,56,6.7,5,51,Sales,3,0,1
EMP0488,44,0.8,5,72,Sales,4,1,1
EMP0489,50,4.4,1,66,Marketing,1,0,0
EMP0490,32,8.4,5,90,Tech,3,0,0
EMP0491,39,9.7,3,85,Marketing,1,0,0
EMP0492,33,4.2,4,32,Marketing,3,0,0
EMP0493,30,2.5,3,92,Sales,2,1,1
EMP0494,31,12.6,3,48,HR,3,0,1
EMP0495,38,14.8,3,52,Marketing,4,0,0
EMP0496,59,8.1,3,58,HR,3,1,0
EMP0497,28,3.0,2,59,HR,1,0,0
EMP0498,34,4.4,1,68,Tech,1,0,1
EMP0499,30,0.8,3,54,HR,3,0,1
EMP0500,48,13.8,4,37,Sales,4,0,1
